query_id,user_id,query_text,category,response
39e0dbfd-e9ae-4503-966c-0bee6c929333,1957,"Hi, I need some help.",greeting,Hi! Welcome back. What can I help you with?
96feebd4-754e-4b75-ad69-d59b94dbe724,2098,I want to cancel my last order.,cancel_order,You can cancel by navigating to Profile > Order History > Cancel Order. Choose the order you wish to cancel and follow the prompts.
48e8c481-20e7-4222-b8e3-def133385611,8189,Is there a way to stop processing on my order?,cancel_order,You can cancel by navigating to My Account > Purchases > Cancel. Choose the order you wish to cancel and follow the prompts.
565e5b3a-c052-42f9-8d33-6711b40af6be,4219,Where can I request a refund?,demand_refund,"Refund requests can be placed through Profile > Order History > Request Refund. Select your order, choose 'Request Refund', and submit your reason."
39a73dfa-9480-4c03-a1a9-2ee0b6e499e1,7906,"Hey, how are you?",greeting,Hi! Welcome back. What can I help you with?
5bc860a2-8632-499d-a326-894ecf957584,1468,I need the courier information for my order.,order_tracking,Tracking details are available under Purchases > Delivery > Tracking Info. It will show you real-time updates about your package location.
066aa492-5a09-432e-b570-4197d82182db,7096,There’s a billing issue with my purchase.,payment_issue,"For payment issues, navigate to My Account > Billing > Payment Help. You will find tools to resolve failed or pending transactions."
6da4ec0c-4979-4aa0-95e2-514d6e421c6c,1911,How can I leave a review for my order?,review_order,"You can add a review by navigating to Purchases > Feedback > Review Order. Once there, you’ll be able to write and submit your review."
48be6b8e-d304-4737-904f-73f764942a79,4559,"Thanks, bye!",goodbye,Goodbye! I hope I was able to help you today.
e5595d15-7794-4006-b2df-9900d5f281b7,7853,Goodbye!,goodbye,Goodbye! I hope I was able to help you today.
9aa3b747-54a8-41c5-83aa-0104e83dbc2a,6436,Who won the football game yesterday?,out_of_scope,"I’m sorry, but I can’t help with that request. Could you please rephrase or ask something else?"
5a167ec2-8297-4c12-a028-5f3b8363e213,1770,Why was my card declined?,payment_issue,You can manage and fix your payment issues at Settings > Payments > Resolve Issue. Select the relevant transaction to proceed.
4b204442-b3cf-40c7-83ec-93875baa9675,8791,"Thanks, bye!",goodbye,Goodbye! I hope I was able to help you today.
aa57a082-07c3-4e0f-a88b-ec393f8baccf,8092,Why was my card declined?,payment_issue,You can manage and fix your payment issues at Profile > Wallet > Payment Issues. Select the relevant transaction to proceed.
a0d534cd-dbe1-4b7d-acbb-c76ad4ff8e9c,1009,There’s an issue I need to report.,submit_complaint,"You can report a problem by going to Profile > Feedback > Report Problem. Fill in the complaint form, and our team will review it shortly."
5270954e-750b-4905-b9ac-5d8a7953bfe2,5016,Where is my order in the process?,order_status,Head over to Orders > Select Order > View Status to see where your order is in the fulfillment process.
fc7a340c-c4fa-4420-a966-a51ecada28df,8111,I need to speak to a human agent.,talk_to_human,I’ll connect you with a support agent shortly. Please hold on.
e0f1d3c8-ab23-4882-b48d-2ce8a405810b,5813,"Hey, how are you?",greeting,Hi! Welcome back. What can I help you with?
641798ed-dac4-43a0-9a7a-2cda93a0468d,9591,Can you connect me to support staff?,talk_to_human,I’ll connect you with a support agent shortly. Please hold on.
6d98a785-ac99-495a-ab51-005a69a19444,4147,"Hey, how are you?",greeting,Hello there! How can I assist you with your orders today?
9e01e376-59c7-4397-9e4f-d8171f8a6383,5954,Tell me a joke.,out_of_scope,"I’m sorry, but I can’t help with that request. Could you please rephrase or ask something else?"
89bff2f0-ff63-4a71-8029-96d6bed88de3,5658,How can I leave a review for my order?,review_order,"You can add a review by navigating to Orders > Select Order > Leave Review. Once there, you’ll be able to write and submit your review."
ad4e4492-7457-49b1-bab2-b21b9f75a397,4186,I need a refund on my last order.,demand_refund,"Refund requests can be placed through Profile > Order History > Request Refund. Select your order, choose 'Request Refund', and submit your reason."
e3d0686e-41c7-4881-b113-327320d7afde,5337,"Hey, how are you?",greeting,Hi! Welcome back. What can I help you with?
ad5e1db0-7578-4883-8ed3-5de6aaac6330,1140,Hello!,greeting,Hi! Welcome back. What can I help you with?
176690c2-759d-4e6f-8521-57369679ecb0,9411,Catch you later.,goodbye,Thank you for reaching out! Have a great day.
103cb39d-bacb-4f7d-ba06-6ef61e79eecb,1623,There’s a billing issue with my purchase.,payment_issue,You can manage and fix your payment issues at Settings > Payments > Resolve Issue. Select the relevant transaction to proceed.
2dc115e4-31c5-4ad2-900f-a3c7c1e162a2,9834,Why was my card declined?,payment_issue,"For payment issues, navigate to My Account > Billing > Payment Help. You will find tools to resolve failed or pending transactions."
bb2159e7-b98c-4a96-9e57-95b5beb83b40,6125,Where do I write a review for my last order?,review_order,"You can add a review by navigating to Orders > Select Order > Leave Review. Once there, you’ll be able to write and submit your review."
e3b97447-b4ef-4182-8d9f-52183880e0e4,8305,I want to talk to a real person.,talk_to_human,"Sure, let me transfer you to one of our human representatives right away."
edb56941-d01f-4d32-817f-838af2f6ca57,4306,Please guide me to initiate a refund.,demand_refund,"To get a refund, please visit My Account > Refunds > Initiate. Choose the respective order and complete the refund form."
2fcc0860-8b7b-4586-b8ff-81c035b9909d,5512,How can I leave a review for my order?,review_order,"To review your order, head over to Orders > Select Order > Leave Review. Select the order and leave your feedback."
df4b012f-a99d-4038-87c5-f4cadf462390,1772,Can I chat with someone from support?,talk_to_human,"Sure, let me transfer you to one of our human representatives right away."
c0cda5e6-ba45-4412-a36e-cb4948b88971,2357,How do I request money back for my purchase?,demand_refund,"Refund requests can be placed through Settings > Orders > Refund Order. Select your order, choose 'Request Refund', and submit your reason."
